ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2099,2099,080103,HUANCAVELICA,HUANCAVELICA,ACORIA,16884,8008,8876,0,1865,4154,2026,4006,3976,857,5,5080,7956,251,51,0,3541,20,3,16,8,16837
ELECCIONES REGIONALES Y MUNICIPALES 2100,2100,090106,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,4142,2132,2010,0,303,929,515,1075,1068,252,0,1120,1954,91,14,0,963,12,2,2,4,4122
ELECCIONES REGIONALES Y MUNICIPALES 2101,2101,130103,LAMBAYEQUE,CHICLAYO,ETEN,9111,4383,4728,0,647,1964,1116,2355,2462,567,0,2614,5373,345,61,2,716,10,9,8,16,9068
ELECCIONES REGIONALES Y MUNICIPALES 2102,2102,201004,PUNO,YUNGUYO,COPANI,4107,2062,2045,0,339,866,472,1030,1103,297,0,1233,2226,66,13,0,569,7,2,0,3,4095
ELECCIONES REGIONALES Y MUNICIPALES 2103,2103,010603,AMAZONAS,CONDORCANQUI,EL CENEPA,8287,4368,3919,0,1178,2411,1264,2030,1297,107,2,4000,3307,35,2,0,941,2,1,0,0,8284
ELECCIONES REGIONALES Y MUNICIPALES 2104,2104,210106,SAN MARTIN,MOYOBAMBA,YANTALO,2768,1532,1236,0,257,682,417,694,599,119,0,1383,1049,33,1,0,302,4,0,5,5,2754
ELECCIONES REGIONALES Y MUNICIPALES 2105,2105,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,830,399,431,0,46,142,79,204,290,69,1,380,356,28,3,0,62,0,0,2,0,828
ELECCIONES REGIONALES Y MUNICIPALES 2106,2106,140707,LIMA,YAUYOS,CARANIA,212,112,100,0,13,34,23,49,63,30,0,76,120,11,3,0,2,0,0,0,0,212
ELECCIONES REGIONALES Y MUNICIPALES 2107,2107,050608,AYACUCHO,PARINACOCHAS,PACAPAUSA,620,306,314,0,35,96,84,130,203,72,0,155,305,18,2,0,140,2,0,1,1,616
ELECCIONES REGIONALES Y MUNICIPALES 2108,2108,200606,PUNO,LAMPA,PALCA,1548,746,802,0,106,337,257,425,352,71,0,480,905,58,15,1,89,2,0,1,0,1545
