REGION,PROVINCE,DISTRICT,CAPITAL,POVERTY_INDICATOR,POPULATION,NUMBER_OF_PROVINCES,NUMBER_OF_DISTRICTS,NUMBER_OF_VOTERS,PROVINCE_ALDERMEN,PROVINCE_COUNCILMEN,DISTRICT_ALDERMEN,DISTRICT_COUNCILMEN
Departamento,Provincia,Distrito,Capital,Indicador de pobreza,Población,N° Provincias,N° Distritos,Electores,Alcaldes provinciales,Regidores provinciales,Alcaldes distritales,Regidores distritales
PUNO,SANDIA,,SANDIA,,"74,320",1,9,"40,632",1,9,9,45
PUNO,SANDIA,SANDIA,SANDIA,POBRE EXTREMO,"12,452",0,1,"9,595",0,0,0,0
PUNO,SANDIA,CUYOCUYO,CUYOCUYO,POBRE EXTREMO,"4,734",0,1,"5,126",0,0,1,5
PUNO,SANDIA,LIMBANI,LIMBANI,POBRE EXTREMO,"4,437",0,1,"2,293",0,0,1,5
PUNO,SANDIA,PHARA,PHARA,POBRE EXTREMO,"4,870",0,1,"3,560",0,0,1,5
PUNO,SANDIA,PATAMBUCO,PATAMBUCO,POBRE EXTREMO,"3,919",0,1,"3,633",0,0,1,5
PUNO,SANDIA,QUIACA,QUIACA,POBRE EXTREMO,"2,400",0,1,"1,688",0,0,1,5
PUNO,SANDIA,SAN JUAN DEL ORO,SAN JUAN DEL ORO,POBRE NO EXTREMO,"14,553",0,1,"3,404",0,0,1,5
PUNO,SANDIA,YANAHUAYA,YANAHUAYA,NO POBRE,"2,201",0,1,"1,744",0,0,1,5
PUNO,SANDIA,ALTO INAMBARI,MASIAPO,NO POBRE,"9,898",0,1,"4,118",0,0,1,5
PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,SAN PEDRO DE PUTINA PUNCO,NO POBRE,"14,856",0,1,"5,471",0,0,1,5
PUNO,SAN ROMAN,,JULIACA,,"305,617",1,4,"207,208",1,13,4,24
PUNO,SAN ROMAN,JULIACA,JULIACA,NO POBRE,"236,232",0,1,"180,430",0,0,0,0
PUNO,SAN ROMAN,CABANA,CABANA,POBRE NO EXTREMO,"4,163",0,1,"3,965",0,0,1,5
PUNO,SAN ROMAN,CABANILLAS,DEUSTUA,POBRE NO EXTREMO,"5,424",0,1,"3,919",0,0,1,5
PUNO,SAN ROMAN,CARACOTO,CARACOTO,POBRE NO EXTREMO,"5,506",0,1,"7,832",0,0,1,5
PUNO,SAN ROMAN,SAN MIGUEL,SAN MIGUEL,,"54,292",0,1,"11,062",0,0,1,9
PUNO,YUNGUYO,,YUNGUYO,,"47,558",1,6,"30,651",1,7,6,30
PUNO,YUNGUYO,YUNGUYO,YUNGUYO,POBRE NO EXTREMO,"27,166",0,1,"20,901",0,0,0,0
PUNO,YUNGUYO,UNICACHI,MARCAJA,POBRE NO EXTREMO,"3,868",0,1,"1,040",0,0,1,5
PUNO,YUNGUYO,ANAPIA,ANAPIA,POBRE NO EXTREMO,"3,351",0,1,923,0,0,1,5
PUNO,YUNGUYO,COPANI,COPANI,POBRE NO EXTREMO,"4,983",0,1,"4,107",0,0,1,5
PUNO,YUNGUYO,CUTURAPI,SAN JUAN DE CUTURAPI,POBRE NO EXTREMO,"1,242",0,1,"1,047",0,0,1,5
PUNO,YUNGUYO,OLLARAYA,SAN MIGUEL DE OLLARAYA,POBRE NO EXTREMO,"5,323",0,1,"2,020",0,0,1,5
PUNO,YUNGUYO,TINICACHI,TINICACHI,POBRE NO EXTREMO,"1,625",0,1,613,0,0,1,5
PUNO,SAN ANTONIO DE PUTINA,,PUTINA,,"72,464",1,4,"22,479",1,9,4,22
PUNO,SAN ANTONIO DE PUTINA,PUTINA,PUTINA,POBRE EXTREMO,"27,696",0,1,"11,939",0,0,0,0
PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,AYRAMPUNI,POBRE NO EXTREMO,"3,074",0,1,"1,708",0,0,1,5
PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,QUILCAPUNCU,POBRE EXTREMO,"5,940",0,1,"3,912",0,0,1,5
PUNO,SAN ANTONIO DE PUTINA,ANANEA,ANANEA,NO POBRE,"33,961",0,1,"3,671",0,0,1,7
PUNO,SAN ANTONIO DE PUTINA,SINA,SINA,POBRE EXTREMO,"1,793",0,1,"1,249",0,0,1,5
PUNO,EL COLLAO,,ILAVE,,"86,966",1,4,"53,302",1,9,4,20
PUNO,EL COLLAO,ILAVE,ILAVE,POBRE NO EXTREMO,"58,922",0,1,"37,973",0,0,0,0
PUNO,EL COLLAO,PILCUYO,PILCUYO,POBRE NO EXTREMO,"13,154",0,1,"9,657",0,0,1,5
PUNO,EL COLLAO,SANTA ROSA,MAZO CRUZ,POBRE NO EXTREMO,"8,006",0,1,"2,862",0,0,1,5
PUNO,EL COLLAO,CAPASO,CAPASO,POBRE EXTREMO,"2,392",0,1,619,0,0,1,5
PUNO,EL COLLAO,CONDURIRI,CONDURIRI,POBRE NO EXTREMO,"4,492",0,1,"2,191",0,0,1,5
PUNO,MOHO,,MOHO,,"26,146",1,3,"21,919",1,7,3,15
PUNO,MOHO,MOHO,MOHO,POBRE NO EXTREMO,"16,028",0,1,"13,001",0,0,0,0
PUNO,MOHO,CONIMA,CONIMA,POBRE NO EXTREMO,"3,096",0,1,"3,179",0,0,1,5
PUNO,MOHO,TILALI,TILALI,POBRE NO EXTREMO,"2,789",0,1,"2,769",0,0,1,5
PUNO,MOHO,HUAYRAPATA,HUAYRAPATA,POBRE EXTREMO,"4,233",0,1,"2,970",0,0,1,5
SAN MARTIN,,,MOYOBAMBA,,"873,593",10,67,"610,097",10,90,67,343
SAN MARTIN,MOYOBAMBA,,MOYOBAMBA,,"156,623",1,5,"93,347",1,11,5,27
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,MOYOBAMBA,NO POBRE,"88,355",0,1,"55,110",0,0,0,0
SAN MARTIN,MOYOBAMBA,CALZADA,CALZADA,NO POBRE,"4,417",0,1,"3,513",0,0,1,5
SAN MARTIN,MOYOBAMBA,HABANA,HABANA,NO POBRE,"2,080",0,1,"1,954",0,0,1,5
SAN MARTIN,MOYOBAMBA,JEPELACIO,JEPELACIO,NO POBRE,"22,075",0,1,"12,148",0,0,1,5
SAN MARTIN,MOYOBAMBA,SORITOR,SORITOR,POBRE NO EXTREMO,"36,148",0,1,"17,854",0,0,1,7
SAN MARTIN,MOYOBAMBA,YANTALO,YANTALO,NO POBRE,"3,548",0,1,"2,768",0,0,1,5
SAN MARTIN,HUALLAGA,,SAPOSOA,,"25,730",1,5,"21,691",1,7,5,25
SAN MARTIN,HUALLAGA,SAPOSOA,SAPOSOA,NO POBRE,"11,271",0,1,"11,281",0,0,0,0
SAN MARTIN,HUALLAGA,PISCOYACU,PISCOYACU,NO POBRE,"3,948",0,1,"3,106",0,0,1,5
SAN MARTIN,HUALLAGA,SACANCHE,SACANCHE,NO POBRE,"2,563",0,1,"2,043",0,0,1,5
SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,TINGO DE SAPOSOA,NO POBRE,644,0,1,721,0,0,1,5
SAN MARTIN,HUALLAGA,ALTO SAPOSOA,PASARRAYA,POBRE NO EXTREMO,"3,307",0,1,"2,633",0,0,1,5
SAN MARTIN,HUALLAGA,EL ESLABON,EL ESLABON,POBRE NO EXTREMO,"3,997",0,1,"1,907",0,0,1,5
SAN MARTIN,LAMAS,,LAMAS,,"87,127",1,10,"62,695",1,9,10,50
SAN MARTIN,LAMAS,LAMAS,LAMAS,NO POBRE,"12,345",0,1,"11,238",0,0,0,0
SAN MARTIN,LAMAS,BARRANQUITA,BARRANQUITA,POBRE EXTREMO,"5,073",0,1,"4,502",0,0,1,5
SAN MARTIN,LAMAS,CAYNARACHI,PONGO DE CAYNARACHI,NO POBRE,"7,962",0,1,"6,430",0,0,1,5
SAN MARTIN,LAMAS,CUÑUMBUQUI,CUÑUMBUQUI,NO POBRE,"4,794",0,1,"3,720",0,0,1,5
SAN MARTIN,LAMAS,PINTO RECODO,PINTO RECODO,POBRE NO EXTREMO,"11,133",0,1,"5,881",0,0,1,5
SAN MARTIN,LAMAS,RUMISAPA,RUMISAPA,NO POBRE,"2,484",0,1,"2,602",0,0,1,5
SAN MARTIN,LAMAS,SHANAO,SHANAO,NO POBRE,"3,688",0,1,"2,211",0,0,1,5
SAN MARTIN,LAMAS,TABALOSOS,TABALOSOS,NO POBRE,"13,422",0,1,"9,828",0,0,1,5
SAN MARTIN,LAMAS,ZAPATERO,ZAPATERO,NO POBRE,"4,757",0,1,"4,602",0,0,1,5
SAN MARTIN,LAMAS,ALONSO DE ALVARADO,ROQUE,NO POBRE,"20,022",0,1,"10,388",0,0,1,5
