Year,ZIP_Code,Cancer Group,Male Count,Female Count,Total_Count
2011-2015,61016,All Cancers Combined,89.00,90.00,179.00
2011-2015,61018,All Cancers Combined,15.00,22.00,37.00
2011-2015,61019,All Cancers Combined,65.00,85.00,150.00
2011-2015,61020,All Cancers Combined,36.00,33.00,69.00
2011-2015,61021,All Cancers Combined,394.00,365.00,759.00
2011-2015,61024,All Cancers Combined,37.00,29.00,66.00
2011-2015,61025,All Cancers Combined,89.00,63.00,152.00
2011-2015,61027,All Cancers Combined,1.00,2.00,3.00
2011-2015,61028,All Cancers Combined,39.00,46.00,85.00
2011-2015,61030,All Cancers Combined,34.00,23.00,57.00
2011-2015,61031,All Cancers Combined,37.00,25.00,62.00
2011-2015,61032,All Cancers Combined,465.00,507.00,972.00
2011-2015,61036,All Cancers Combined,149.00,124.00,273.00
2011-2015,61037,All Cancers Combined,3.00,3.00,6.00
2011-2015,61038,All Cancers Combined,14.00,18.00,32.00
2011-2015,61039,All Cancers Combined,10.00,12.00,22.00
2011-2015,61041,All Cancers Combined,24.00,13.00,37.00
